time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-14 00:00:00+00:00,1073,179,68,37
2022-08-15 00:00:00+00:00,1758,368,137,78
2022-08-16 00:00:00+00:00,1759,355,135,76
2022-08-17 00:00:00+00:00,1905,537,101,65
2022-08-18 00:00:00+00:00,1711,376,155,77
2022-08-19 00:00:00+00:00,1674,340,118,68
2022-08-20 00:00:00+00:00,1126,181,37,28
2022-08-21 00:00:00+00:00,1140,213,52,39
2022-08-22 00:00:00+00:00,1783,387,136,69
2022-08-23 00:00:00+00:00,2060,427,160,86
2022-08-24 00:00:00+00:00,1837,461,189,87
2022-08-25 00:00:00+00:00,2007,451,79,45
2022-08-26 00:00:00+00:00,1888,397,132,72
2022-08-27 00:00:00+00:00,1095,187,66,42
