time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-01 00:00:00+00:00,3.0,2.0,27,20
2022-09-02 00:00:00+00:00,2.0,1.0,77,27
2022-09-03 00:00:00+00:00,5.0,2.0,38,11
2022-09-04 00:00:00+00:00,,,27,14
2022-09-05 00:00:00+00:00,2.0,2.0,59,28
2022-09-06 00:00:00+00:00,2.0,1.0,66,37
2022-09-07 00:00:00+00:00,30.0,22.0,58,31
2022-09-08 00:00:00+00:00,59.0,29.0,49,27
2022-09-09 00:00:00+00:00,64.0,22.0,51,20
2022-09-10 00:00:00+00:00,18.0,14.0,26,9
2022-09-11 00:00:00+00:00,1.0,1.0,15,10
2022-09-12 00:00:00+00:00,4.0,1.0,71,27
2022-09-13 00:00:00+00:00,5.0,2.0,66,28
2022-09-14 00:00:00+00:00,15.0,12.0,53,24
