time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-14 00:00:00+00:00,71,41,117,34
2022-03-15 00:00:00+00:00,31,19,64,29
2022-03-16 00:00:00+00:00,4,2,64,30
2022-03-17 00:00:00+00:00,6,2,119,45
2022-03-18 00:00:00+00:00,18,5,111,30
2022-03-19 00:00:00+00:00,7,3,66,23
2022-03-20 00:00:00+00:00,12,6,16,12
2022-03-21 00:00:00+00:00,10,4,46,24
2022-03-22 00:00:00+00:00,4,2,86,34
2022-03-23 00:00:00+00:00,9,4,184,54
2022-03-24 00:00:00+00:00,12,6,118,29
2022-03-25 00:00:00+00:00,5,3,44,24
2022-03-26 00:00:00+00:00,2,2,46,20
2022-03-27 00:00:00+00:00,1,1,23,12
