time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-31 00:00:00+00:00,239,92,23,15
2022-01-01 00:00:00+00:00,152,73,7,4
2022-01-02 00:00:00+00:00,140,62,15,6
2022-01-03 00:00:00+00:00,203,71,13,12
2022-01-04 00:00:00+00:00,411,130,53,25
2022-01-05 00:00:00+00:00,397,101,42,10
2022-01-06 00:00:00+00:00,346,104,49,21
2022-01-07 00:00:00+00:00,289,112,35,18
2022-01-08 00:00:00+00:00,144,72,27,4
2022-01-09 00:00:00+00:00,109,60,12,7
2022-01-10 00:00:00+00:00,260,114,89,24
2022-01-11 00:00:00+00:00,247,108,31,19
2022-01-12 00:00:00+00:00,271,105,33,19
2022-01-13 00:00:00+00:00,187,81,100,29
