time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-30 00:00:00+00:00,188,75,21,15
2021-10-31 00:00:00+00:00,199,63,43,19
2021-11-01 00:00:00+00:00,209,78,94,42
2021-11-02 00:00:00+00:00,276,99,132,58
2021-11-03 00:00:00+00:00,294,110,1199,312
2021-11-04 00:00:00+00:00,359,98,695,135
2021-11-05 00:00:00+00:00,311,94,306,110
2021-11-06 00:00:00+00:00,239,88,99,42
2021-11-07 00:00:00+00:00,214,72,85,34
2021-11-08 00:00:00+00:00,553,125,388,91
2021-11-09 00:00:00+00:00,350,117,360,92
2021-11-10 00:00:00+00:00,321,113,305,92
2021-11-11 00:00:00+00:00,289,101,198,76
2021-11-12 00:00:00+00:00,309,95,336,63
