time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-19 00:00:00+00:00,279,95,108,47
2022-02-20 00:00:00+00:00,261,105,63,29
2022-02-21 00:00:00+00:00,464,110,280,109
2022-02-22 00:00:00+00:00,309,132,277,110
2022-02-23 00:00:00+00:00,394,162,244,105
2022-02-24 00:00:00+00:00,359,125,223,92
2022-02-25 00:00:00+00:00,269,116,197,84
2022-02-26 00:00:00+00:00,230,89,76,28
2022-02-27 00:00:00+00:00,252,109,76,31
2022-02-28 00:00:00+00:00,313,142,178,85
2022-03-01 00:00:00+00:00,323,155,285,85
2022-03-02 00:00:00+00:00,445,147,238,95
2022-03-03 00:00:00+00:00,369,120,213,88
2022-03-04 00:00:00+00:00,334,109,170,93
