time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-07 00:00:00+00:00,3236,415,60,34
2022-01-08 00:00:00+00:00,1125,169,14,11
2022-01-09 00:00:00+00:00,1184,165,56,23
2022-01-10 00:00:00+00:00,2790,404,50,36
2022-01-11 00:00:00+00:00,1852,602,65,36
2022-01-12 00:00:00+00:00,1965,485,51,31
2022-01-13 00:00:00+00:00,1844,548,120,43
2022-01-14 00:00:00+00:00,1644,420,106,44
2022-01-15 00:00:00+00:00,1164,178,34,17
2022-01-16 00:00:00+00:00,1178,182,31,16
2022-01-17 00:00:00+00:00,1785,447,117,34
2022-01-18 00:00:00+00:00,1720,397,95,37
2022-01-19 00:00:00+00:00,1840,495,69,39
2022-01-20 00:00:00+00:00,1572,467,60,22
