time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-01 00:00:00+00:00,1160,146,13,9
2022-01-02 00:00:00+00:00,1146,142,36,16
2022-01-03 00:00:00+00:00,3428,388,68,27
2022-01-04 00:00:00+00:00,3213,579,116,46
2022-01-05 00:00:00+00:00,3366,602,56,37
2022-01-06 00:00:00+00:00,3044,419,72,36
2022-01-07 00:00:00+00:00,3236,415,60,34
2022-01-08 00:00:00+00:00,1125,169,14,11
2022-01-09 00:00:00+00:00,1184,165,53,22
2022-01-10 00:00:00+00:00,2790,404,50,36
2022-01-11 00:00:00+00:00,1852,602,65,36
2022-01-12 00:00:00+00:00,1965,485,51,31
2022-01-13 00:00:00+00:00,1844,548,120,43
2022-01-14 00:00:00+00:00,1527,406,95,41
