time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-16 00:00:00+00:00,853,245,82,36
2022-07-17 00:00:00+00:00,1000,237,84,36
2022-07-18 00:00:00+00:00,2432,583,201,49
2022-07-19 00:00:00+00:00,2223,712,226,61
2022-07-20 00:00:00+00:00,1962,515,261,79
2022-07-21 00:00:00+00:00,1927,454,197,59
2022-07-22 00:00:00+00:00,1824,420,155,49
2022-07-23 00:00:00+00:00,952,200,70,25
2022-07-24 00:00:00+00:00,1106,218,65,31
2022-07-25 00:00:00+00:00,2030,457,159,51
2022-07-26 00:00:00+00:00,2195,597,231,75
2022-07-27 00:00:00+00:00,2426,744,138,57
2022-07-28 00:00:00+00:00,2174,606,105,52
2022-07-29 00:00:00+00:00,2058,607,78,41
