time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-29 00:00:00+00:00,6,5,62,31
2021-10-30 00:00:00+00:00,6,5,40,17
2021-10-31 00:00:00+00:00,120,53,21,12
2021-11-01 00:00:00+00:00,158,64,126,23
2021-11-02 00:00:00+00:00,260,99,107,31
2021-11-03 00:00:00+00:00,265,96,146,38
2021-11-04 00:00:00+00:00,271,91,50,30
2021-11-05 00:00:00+00:00,313,101,85,32
2021-11-06 00:00:00+00:00,287,89,23,15
2021-11-07 00:00:00+00:00,189,67,10,9
2021-11-08 00:00:00+00:00,166,70,39,26
2021-11-09 00:00:00+00:00,371,147,175,31
2021-11-10 00:00:00+00:00,305,102,87,24
2021-11-11 00:00:00+00:00,254,82,59,31
