time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-27 00:00:00+00:00,,,21,17
2022-11-28 00:00:00+00:00,6.0,6.0,57,30
2022-11-29 00:00:00+00:00,3.0,3.0,54,39
2022-11-30 00:00:00+00:00,26.0,15.0,179,60
2022-12-01 00:00:00+00:00,25.0,22.0,63,42
2022-12-02 00:00:00+00:00,,,67,47
2022-12-03 00:00:00+00:00,5.0,5.0,33,14
2022-12-04 00:00:00+00:00,14.0,6.0,27,18
2022-12-05 00:00:00+00:00,70.0,43.0,37,30
2022-12-06 00:00:00+00:00,221.0,83.0,79,38
2022-12-07 00:00:00+00:00,168.0,73.0,87,46
2022-12-08 00:00:00+00:00,89.0,49.0,56,32
2022-12-09 00:00:00+00:00,254.0,103.0,34,24
2022-12-10 00:00:00+00:00,69.0,39.0,14,13
