time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-30 00:00:00+00:00,205,78,14,5
2021-10-31 00:00:00+00:00,205,78,7,4
2021-11-01 00:00:00+00:00,654,142,63,19
2021-11-02 00:00:00+00:00,657,135,61,19
2021-11-03 00:00:00+00:00,531,144,28,11
2021-11-04 00:00:00+00:00,638,151,16,8
2021-11-05 00:00:00+00:00,538,116,28,12
2021-11-06 00:00:00+00:00,298,95,33,3
2021-11-07 00:00:00+00:00,266,79,10,5
2021-11-08 00:00:00+00:00,578,134,9,7
2021-11-09 00:00:00+00:00,614,145,13,7
2021-11-10 00:00:00+00:00,536,137,25,12
2021-11-11 00:00:00+00:00,364,124,46,13
2021-11-12 00:00:00+00:00,445,131,38,14
