time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-08 00:00:00+00:00,684,220,32,17
2022-08-09 00:00:00+00:00,586,176,24,12
2022-08-10 00:00:00+00:00,667,180,22,14
2022-08-11 00:00:00+00:00,555,164,62,12
2022-08-12 00:00:00+00:00,534,167,7,4
2022-08-13 00:00:00+00:00,301,111,7,6
2022-08-14 00:00:00+00:00,286,86,7,4
2022-08-15 00:00:00+00:00,627,197,21,9
2022-08-16 00:00:00+00:00,636,159,16,8
2022-08-17 00:00:00+00:00,592,193,16,9
2022-08-18 00:00:00+00:00,541,160,8,7
2022-08-19 00:00:00+00:00,451,151,21,11
2022-08-20 00:00:00+00:00,224,86,6,3
2022-08-21 00:00:00+00:00,238,86,17,9
