time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-16 00:00:00+00:00,385,188,50,16
2023-02-17 00:00:00+00:00,351,156,65,17
2023-02-18 00:00:00+00:00,348,158,16,10
2023-02-19 00:00:00+00:00,292,131,13,6
2023-02-20 00:00:00+00:00,443,169,52,18
2023-02-21 00:00:00+00:00,451,157,34,20
2023-02-22 00:00:00+00:00,473,189,28,13
2023-02-23 00:00:00+00:00,556,212,48,16
2023-02-24 00:00:00+00:00,494,190,57,17
2023-02-25 00:00:00+00:00,229,116,34,10
2023-02-26 00:00:00+00:00,179,101,11,7
2023-02-27 00:00:00+00:00,598,174,29,9
2023-02-28 00:00:00+00:00,559,191,37,14
2023-03-01 00:00:00+00:00,337,162,20,12
