time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-14 00:00:00+00:00,168,78,29,7
2022-04-15 00:00:00+00:00,120,47,10,3
2022-04-16 00:00:00+00:00,78,38,25,5
2022-04-17 00:00:00+00:00,76,29,1,1
2022-04-18 00:00:00+00:00,157,71,4,4
2022-04-19 00:00:00+00:00,173,72,7,7
2022-04-20 00:00:00+00:00,187,79,13,10
2022-04-21 00:00:00+00:00,166,57,3,2
2022-04-22 00:00:00+00:00,196,75,14,9
2022-04-23 00:00:00+00:00,168,65,1,1
2022-04-24 00:00:00+00:00,111,43,7,3
2022-04-25 00:00:00+00:00,109,50,2,2
2022-04-26 00:00:00+00:00,131,47,6,5
2022-04-27 00:00:00+00:00,111,49,14,6
