time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-30 00:00:00+00:00,123,55,2.0,2.0
2021-10-31 00:00:00+00:00,123,50,,
2021-11-01 00:00:00+00:00,160,76,14.0,5.0
2021-11-02 00:00:00+00:00,278,108,11.0,1.0
2021-11-03 00:00:00+00:00,294,105,4.0,4.0
2021-11-04 00:00:00+00:00,282,93,2.0,2.0
2021-11-05 00:00:00+00:00,259,89,7.0,5.0
2021-11-06 00:00:00+00:00,218,75,1.0,1.0
2021-11-07 00:00:00+00:00,209,73,,
2021-11-08 00:00:00+00:00,257,99,14.0,4.0
2021-11-09 00:00:00+00:00,248,92,11.0,5.0
2021-11-10 00:00:00+00:00,211,100,22.0,9.0
2021-11-11 00:00:00+00:00,264,106,10.0,3.0
2021-11-12 00:00:00+00:00,257,88,6.0,3.0
